record_id,learner,val_log_loss,val_f1,val_accuracy,val_precision,val_recall,val_auc,pred_time,config
67,extra_tree,0.04935546128144755,0.9888224163740685,0.988823424388502,0.9888783235032049,0.988823424388502,0.9990999271039491,3.4543578698366504e-07,"{'n_estimators': 15, 'max_features': 0.14156234000031248, 'max_leaves': 352, 'criterion': 'gini'}"
68,extra_tree,0.0668660071109216,0.9897295065782249,0.9897304052847706,0.9897830247854252,0.9897304052847706,0.998601689384526,3.323642680994465e-07,"{'n_estimators': 6, 'max_features': 0.15003220194236053, 'max_leaves': 662, 'criterion': 'gini'}"
69,lgbm,0.0006688137421668025,0.9998928764022527,0.9998928762720942,0.9998928994838343,0.9998928762720942,0.9999953885935314,2.874645797764908e-05,"{'n_estimators': 885, 'num_leaves': 93, 'min_child_samples': 2, 'learning_rate': 0.10461932853782105, 'log_max_bin': 6, 'colsample_bytree': 0.41056186994662447, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.017780560438865074}"
70,extra_tree,0.07010228907535554,0.9836624678854826,0.9836672022853062,0.9839525366359831,0.9836672022853062,0.9989934151119257,5.017406407093878e-07,"{'n_estimators': 41, 'max_features': 0.13357063248370513, 'max_leaves': 187, 'criterion': 'entropy'}"
71,extra_tree,0.047185896769915255,0.9930154324411954,0.9930155329405463,0.9930179254985291,0.9930155329405463,0.999330747727935,3.385024504073282e-07,"{'n_estimators': 11, 'max_features': 0.1645606331759019, 'max_leaves': 1324, 'criterion': 'gini'}"
72,xgb_limitdepth,0.08530143860443228,0.9765752652344891,0.9765756114979468,0.9765775987040709,0.9765756114979468,0.9972212793140725,1.0793325284233563e-07,"{'n_estimators': 10, 'max_depth': 6, 'min_child_weight': 0.9999999999999993, 'learning_rate': 0.29999999999999993, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0009765625, 'reg_lambda': 1.0}"
73,xgb_limitdepth,0.23311057254954243,0.9691657701387478,0.9691697911087306,0.969258115482963,0.9691697911087306,0.9933221810980815,1.0726069195145816e-07,"{'n_estimators': 10, 'max_depth': 6, 'min_child_weight': 3.815612027960909, 'learning_rate': 0.11577408576396249, 'subsample': 1.0, 'colsample_bylevel': 0.8148474110627004, 'colsample_bytree': 0.9777234800442423, 'reg_alpha': 0.0009765625, 'reg_lambda': 5.525802807180917}"
74,xgb_limitdepth,0.038516725945380796,0.9867095365608269,0.986709516157829,0.9867095933024186,0.986709516157829,0.998867692309872,1.1034595862049606e-07,"{'n_estimators': 11, 'max_depth': 6, 'min_child_weight': 0.26208115308159446, 'learning_rate': 0.7773760371858148, 'subsample': 0.9266743941610592, 'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0013933617380144255, 'reg_lambda': 0.18096917948292954}"
75,xgb_limitdepth,0.0497198947762384,0.982381953296748,0.9823817175504375,0.9823856188900285,0.9823817175504375,0.9983408440686978,1.0579638216372494e-07,"{'n_estimators': 11, 'max_depth': 5, 'min_child_weight': 1.8630223791106992, 'learning_rate': 1.0, 'subsample': 0.8513627344387318, 'colsample_bylevel': 1.0, 'colsample_bytree': 0.946138073111236, 'reg_alpha': 0.0018311776973217071, 'reg_lambda': 0.2790165919053837}"
76,xgb_limitdepth,0.09831972598580288,0.9839241190654354,0.98392429923228,0.9839255579554639,0.98392429923228,0.9979295786770412,1.1290169000583043e-07,"{'n_estimators': 11, 'max_depth': 7, 'min_child_weight': 0.03686833371983711, 'learning_rate': 0.20037430545841062, 'subsample': 1.0, 'colsample_bylevel': 0.9168331919232143, 'colsample_bytree': 1.0, 'reg_alpha': 0.001060223120782963, 'reg_lambda': 0.11737597287343539}"
77,extra_tree,0.046843375889706475,0.9906297295061527,0.9906302445991787,0.9906555062599077,0.9906302445991787,0.9993673212453921,3.4374501998457307e-07,"{'n_estimators': 14, 'max_features': 0.14156234000031248, 'max_leaves': 352, 'criterion': 'entropy'}"
78,xgb_limitdepth,0.1533794690536818,0.9706896776860756,0.970690948044992,0.9707058786008264,0.970690948044992,0.9945813005277583,1.0002768267437595e-07,"{'n_estimators': 4, 'max_depth': 6, 'min_child_weight': 0.08262716617929555, 'learning_rate': 0.41239927569263224, 'subsample': 0.8885937069868678, 'colsample_bylevel': 0.8184166881476597, 'colsample_bytree': 0.8648827061331837, 'reg_alpha': 0.0018753066867999496, 'reg_lambda': 0.41314951749877393}"
79,xgb_limitdepth,0.02793042931758683,0.9902163262216386,0.9902160328512766,0.9902492070097997,0.9902160328512766,0.9995257885325817,1.354282231357263e-07,"{'n_estimators': 32, 'max_depth': 6, 'min_child_weight': 0.8312826637613695, 'learning_rate': 1.0, 'subsample': 0.9647550813352507, 'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0010352743615901622, 'reg_lambda': 0.0792687454193188}"
80,xgb_limitdepth,0.025683928786743977,0.991530268632182,0.9915300839135869,0.9915420085287532,0.9915300839135869,0.999487802630344,1.5467368072962e-07,"{'n_estimators': 62, 'max_depth': 5, 'min_child_weight': 1.6931625792034866, 'learning_rate': 1.0, 'subsample': 1.0, 'colsample_bylevel': 0.8811171114303163, 'colsample_bytree': 0.8499027725496043, 'reg_alpha': 0.0016804960453779686, 'reg_lambda': 0.3541743469020695}"
81,rf,0.11112446319979356,0.9618432320692657,0.9618639528655597,0.9624659317529979,0.9618639528655597,0.9911195889409945,1.8562340051058126e-07,"{'n_estimators': 4, 'max_features': 0.15212091558824378, 'max_leaves': 23, 'criterion': 'gini'}"
82,xgb_limitdepth,0.02336122765648309,0.9923657124055947,0.9923656489912516,0.9923669785974765,0.9923656489912516,0.9995316456268225,1.4087852038053334e-07,"{'n_estimators': 32, 'max_depth': 6, 'min_child_weight': 0.8312826637613695, 'learning_rate': 0.38946718731417634, 'subsample': 0.9079647052885418, 'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.001035274361590162, 'reg_lambda': 0.07926874541931875}"
83,rf,0.07691483141157966,0.9777352343756125,0.977739689341189,0.9779086886624777,0.977739689341189,0.9977517867280092,2.6798571801317563e-07,"{'n_estimators': 11, 'max_features': 0.12912334292975164, 'max_leaves': 44, 'criterion': 'entropy'}"
84,xgboost,0.020288270278985682,0.9927300138761832,0.9927298696661311,0.9927391510827002,0.9927298696661311,0.999648764608655,2.3612335864358067e-07,"{'n_estimators': 128, 'max_leaves': 11, 'min_child_weight': 2.960404027068085, 'learning_rate': 0.6115291712980646, 'subsample': 1.0, 'colsample_bylevel': 0.5362882637290634, 'colsample_bytree': 0.6676208580662436, 'reg_alpha': 0.032993944344510105, 'reg_lambda': 2.6039534268856386}"
85,xgboost,0.0347645046667737,0.9881881982274867,0.988187823602928,0.9882322155544405,0.988187823602928,0.9991534528093953,1.4439116118529337e-07,"{'n_estimators': 59, 'max_leaves': 5, 'min_child_weight': 4.043102503713952, 'learning_rate': 1.0, 'subsample': 1.0, 'colsample_bylevel': 0.6885319215674311, 'colsample_bytree': 0.702084749281336, 'reg_alpha': 0.02113405419340437, 'reg_lambda': 6.428622518296678}"
86,xgb_limitdepth,0.021408994228687795,0.9927085225712022,0.9927084449205499,0.9927106710801652,0.9927084449205499,0.9996274181079757,1.491058981646344e-07,"{'n_estimators': 31, 'max_depth': 8, 'min_child_weight': 1.198219708065302, 'learning_rate': 0.4743416464891248, 'subsample': 0.9418540842995652, 'colsample_bylevel': 1.0, 'colsample_bytree': 0.9468117873770695, 'reg_alpha': 0.026629132162083402, 'reg_lambda': 0.4001243226017502}"
87,xgboost,0.015507785020511304,0.9950580966908461,0.9950580253526156,0.9950623099463634,0.9950580253526156,0.999754031831066,4.387242392628688e-07,"{'n_estimators': 277, 'max_leaves': 25, 'min_child_weight': 2.167640319638298, 'learning_rate': 0.1906768170793791, 'subsample': 0.8895588746662894, 'colsample_bylevel': 0.38404460589069533, 'colsample_bytree': 0.6331569668511512, 'reg_alpha': 0.05150930121814331, 'reg_lambda': 1.05474748752024}"
88,xgboost,0.03520174226348756,0.9894447174220492,0.9894447420103553,0.9894447719719383,0.9894447420103553,0.9993709795510037,1.7180610524609863e-07,"{'n_estimators': 122, 'max_leaves': 4, 'min_child_weight': 3.1674091372436206, 'learning_rate': 0.3287452722016841, 'subsample': 0.937812919568431, 'colsample_bylevel': 0.5007303637080798, 'colsample_bytree': 0.6907687602151568, 'reg_alpha': 0.07420004486208959, 'reg_lambda': 0.34735761186224456}"
89,rf,0.10670994308254787,0.9613713124101883,0.9613926084627745,0.962005265957222,0.9613926084627745,0.993610652413336,1.8462222126036367e-07,"{'n_estimators': 4, 'max_features': 0.1521209155882438, 'max_leaves': 23, 'criterion': 'entropy'}"
90,rf,0.14571335307744113,0.9362546257633104,0.9364470630244599,0.9407042921335096,0.9364470630244599,0.9873772527344438,2.6832455248731394e-07,"{'n_estimators': 13, 'max_features': 0.14131655874395124, 'max_leaves': 8, 'criterion': 'entropy'}"
91,xgb_limitdepth,0.0235461765659833,0.9921729577757467,0.9921728262810212,0.9921790166677948,0.9921728262810212,0.9995492844963065,1.398296659279244e-07,"{'n_estimators': 32, 'max_depth': 6, 'min_child_weight': 0.8312826637613695, 'learning_rate': 0.389467187314176, 'subsample': 0.9079647052885418, 'colsample_bylevel': 0.9722620955509288, 'colsample_bytree': 1.0, 'reg_alpha': 0.0010352743615901622, 'reg_lambda': 0.07926874541931875}"
92,rf,0.07346320996405814,0.9876588987457089,0.9876593465452598,0.9876716566263174,0.9876593465452598,0.9983155925324714,2.682019591097363e-07,"{'n_estimators': 9, 'max_features': 0.11798219428455964, 'max_leaves': 253, 'criterion': 'gini'}"
93,xgb_limitdepth,0.02961090911220794,0.9902375706456773,0.9902374575968577,0.9902401736605639,0.9902374575968577,0.9992610014038062,1.202436711740928e-07,"{'n_estimators': 16, 'max_depth': 7, 'min_child_weight': 0.23395253390513732, 'learning_rate': 0.7395932218811868, 'subsample': 0.7704850949571997, 'colsample_bylevel': 0.9559873420149136, 'colsample_bytree': 1.0, 'reg_alpha': 0.07504109678964582, 'reg_lambda': 1.156013397308273}"
94,xgboost,0.01529064436711469,0.9951437859261706,0.9951437243349401,0.9951469210484984,0.9951437243349401,0.9997734591737768,9.546976305718635e-07,"{'n_estimators': 628, 'max_leaves': 177, 'min_child_weight': 1.483440992852138, 'learning_rate': 0.1105951983066625, 'subsample': 0.8413048297641477, 'colsample_bylevel': 0.2673588480733109, 'colsample_bytree': 0.5755451734871456, 'reg_alpha': 0.03575750010546155, 'reg_lambda': 3.2027289008177897}"
95,xgb_limitdepth,0.024049569881854294,0.9918801573746673,0.9918800214247456,0.9918861701025596,0.9918800214247456,0.9995785908811505,1.8447068222419127e-07,"{'n_estimators': 61, 'max_depth': 9, 'min_child_weight': 6.136845131920026, 'learning_rate': 0.3042212812898913, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'colsample_bytree': 0.8481188761562112, 'reg_alpha': 0.009449631069405528, 'reg_lambda': 0.1384927492279018}"
96,lgbm,0.0007205037794502355,0.9998143192599742,0.9998143188716301,0.999814388598934,0.9998143188716301,0.9999959637696225,8.973457242437525e-06,"{'n_estimators': 399, 'num_leaves': 45, 'min_child_samples': 3, 'learning_rate': 0.056460614090194525, 'log_max_bin': 7, 'colsample_bytree': 0.5178642845063358, 'reg_alpha': 0.004996244283600559, 'reg_lambda': 0.01039649327225154}"
